Designator,Mid X,Mid Y,Layer,Rotation
C1,116.110000,-122.125000,top,270.000000
C2,172.515000,-110.490000,top,0.000000
C3,173.465000,-87.630000,top,0.000000
C4,154.226000,-98.734000,top,180.000000
C5,173.465000,-91.440000,top,0.000000
C6,173.465000,-99.060000,top,0.000000
C7,173.465000,-95.250000,top,0.000000
D1,142.780000,-78.740000,top,180.000000
D2,95.980000,-129.540000,top,0.000000
D3,70.070000,-130.810000,top,0.000000
D4,173.990000,-70.070000,top,270.000000
D5,79.470000,-134.620000,top,0.000000
D6,66.580000,-134.620000,top,180.000000
J3,201.55,-69.8,top,0.000000
Q1,154.940000,-72.390000,top,270.000000
R1,149.860000,-79.565000,top,90.000000
R2,169.735000,-68.580000,top,180.000000
R3,171.450000,-73.215000,top,270.000000
R4,70.295000,-116.840000,top,0.000000
R5,70.295000,-114.300000,top,0.000000
R6,82.550000,-107.505000,top,270.000000
R7,70.295000,-111.760000,top,0.000000
R8,70.295000,-109.220000,top,0.000000
R9,70.295000,-127.000000,top,0.000000
R10,70.295000,-124.460000,top,0.000000
R11,70.295000,-121.920000,top,0.000000
R12,70.295000,-119.380000,top,0.000000
RV1,144.050000,-72.390000,top,90.000000
RV2,161.290000,-99.060000,top,90.000000
RV3,167.010000,-99.060000,top,90.000000
SW7,190.285000,-69.982300,top,0.000000
U1,162.560000,-106.680000,top,90.000000
U2,120.650000,-105.410000,top,0.000000
U7,137.160000,-105.410000,top,180.000000
U8,80.010000,-114.300000,top,270.000000
U9,78.740000,-93.980000,top,270.000000
U10,80.010000,-127.000000,top,270.000000
U11,135.890000,-93.980000,top,90.000000
U12,78.740000,-80.010000,top,270.000000
U13,146.590000,-92.710000,top,270.000000
U14,150.400000,-105.410000,top,180.000000
U15,120.650000,-93.980000,top,180.000000
U16,156.750000,-91.440000,top,0.000000
U17,165.200000,-91.440000,top,0.000000
